place_id,address,lat,lng,place,place_type,category,region_id,popularity
1,서울 강남구 신사동 653-18,37.5240308759135,127.037347152724,부케드뺑,음식점,['맛집'],0,0.9323987935082932
2,서울 강서구 화곡동 349-15,37.5334249471385,126.845201122636,버터앤쉘터 까치산역점,카페,['카페'],0,0.9276512574660295
3,서울 강남구 대치동 896-9,37.5035868494312,127.052047914889,도야지한근,음식점,['맛집'],0,0.905511699392171
4,서울 강남구 역삼동 818-3,37.4998293543379,127.028290548097,단성무이,음식점,['맛집'],0,0.6307231807082383
5,서울 종로구 인사동 43,37.5718961547884,126.987230558854,런닝맨 인사동점,액티비티,"['오락', '액티비티']",0,0.5385997288592107
6,서울 영등포구 여의도동 13-3,37.5302893644917,126.921969207155,브로드웨이,음식점,['맛집'],0,0.9732328902230316
7,서울 영등포구 여의도동 44-21,37.5208060577445,126.929281722755,여의화로,음식점,['맛집'],0,0.8068958455235509
8,서울 영등포구 여의도동 44-35,37.5191992432192,126.930861016994,여의정,음식점,['맛집'],0,0.5013153768131499
9,서울 서초구 반포동 19-3,37.5039351769908,127.002413006799,온유가 K-ROLL,음식점,['맛집'],0,0.9552035890329189
10,서울 중구 을지로3가 291-14,37.5657300400086,126.992936559055,은성농원 을지로점,음식점,['맛집'],0,0.9924017376187777
11,서울 용산구 원효로2가 90-9,37.5355256040105,126.960772219025,행복포차,음식점,['맛집'],0,0.6431483020830853
12,서울 용산구 이태원동 44-21,37.5324499898497,126.990962375504,세이투셰,쇼핑,"['문화', '쇼핑']",0,0.9068305615194898
13,강원특별자치도 정선군 남면 무릉리 412-5,37.2548771865801,128.780798283676,민둥산,관광지,"['산', '자연']",4,0.5412039719406541
14,인천 남동구 논현동 680-1,37.3987370170571,126.737174739921,소래포구어시장,음식점,['맛집'],0,0.7191400236517107
15,경북 경주시 양남면 수렴리,35.6642538651166,129.446389548481,관성솔밭해변야영장,관광지,"['바다', '휴양']",3,0.9088518873724037
16,충남 서산시 대산읍 화곡리,36.9943618617438,126.438176099933,회뜨는선상,음식점,['맛집'],0,0.7043666663448869
17,강원특별자치도 동해시 천곡동,37.5228778892452,129.116146826239,한섬몽돌해변,관광지,"['바다', '자연']",4,0.7588748535934886
18,경기 가평군 설악면 사룡리 234-1,37.7027849526019,127.492218177954,캠프통포레스트,액티비티,"['액티비티', '휴양']",0,0.5585199417375332
19,경북 경주시 감포읍 오류리 588-2,35.8080028231422,129.511512796917,송대말등대,관광지,"['경치', '바다']",3,0.9070032596250559
20,경기 시흥시 배곧동 307,37.3539879621932,126.701818822931,배곧한울공원,관광지,"['휴양', '자연']",0,0.748933704166256
21,강원특별자치도 양양군 서면 서림리 112,37.9878825381697,128.532465940905,해담마을휴양지 수륙양용차,액티비티,"['액티비티', '휴양']",4,0.6241395974433359
22,강원특별자치도 삼척시 근덕면 동막리 104-8,37.3478682972826,129.260431920518,대진항,관광지,"['자연', '휴양']",4,0.8883430780004342
23,충북 괴산군 괴산읍 동부리 5,36.8191551494983,127.798493849973,중원워터피아,액티비티,"['액티비티', '오락']",2,0.9896141445947813
24,경기 남양주시 수동면 외방리 279-5,37.7526891523091,127.308816238718,축령산계곡가든,음식점,['맛집'],0,0.7691716170381451
25,강원특별자치도 홍천군 서면 팔봉리 580-1,37.6539801322415,127.705664820505,오도치캠핑장,액티비티,"['자연', '휴양']",0,0.8685751113103918
26,강원특별자치도 영월군 무릉도원면 두산리 222-1,37.3131598989816,128.180070925913,영월 물마루 캠핑장,액티비티,"['자연', '휴양']",4,0.9963803444241813
27,전남 영암군 영암읍 회문리 35-1,34.7915677728537,126.685371960776,월출산 영암 기찬랜드,관광지,"['자연', '액티비티']",1,0.515063748187662
28,강원특별자치도 홍천군 내면 광원리 493-1,37.8178686978131,128.457705330819,홍천 을수골 별빛계곡캠핑장,액티비티,"['자연', '휴양']",4,0.7994888261833857
29,강원특별자치도 고성군 현내면 마차진리,38.5139215731876,128.415703389763,마차진 해수욕장,관광지,"['바다', '액티비티']",4,0.9836476388957933
30,강원특별자치도 홍천군 서면 팔봉리 1290-2,37.6521031526954,127.687106349987,오션월드,액티비티,"['액티비티', '휴양']",0,0.5586682869216584
31,강원특별자치도 양양군 서면 오색리 113-1,38.0761615439991,128.503221297361,물레방아 식당,음식점,['맛집'],4,0.6115507474969601
32,강원특별자치도 횡성군 둔내면 두원리 204,37.4908581391239,128.250317220134,웰리힐리파크,액티비티,"['액티비티', '휴양']",4,0.7751141944916864
33,강원특별자치도 삼척시 근덕면 장호리 3-1,37.288124534996,129.317614444966,장호항,관광지,"['바다', '자연']",4,0.861163655359898
34,경기 화성시 서신면 궁평리 689,37.1160290822801,126.681274760934,궁평항,관광지,"['바다', '휴양']",0,0.7763762076974147
35,경기 양주시 장흥면 석현리 201-4,37.7484369514535,126.947177660481,계곡식당,음식점,['맛집'],0,0.7738508978211831
36,서울 종로구 익선동 171-1,37.5730733906709,126.989988136881,고운돈,음식점,['맛집'],0,0.5257694147371808
37,제주특별자치도 제주시 구좌읍 김녕리 6159,33.5595661369175,126.72795266525,모알보알,관광지,"['경치', '자연']",1,0.8696148560973717
38,강원특별자치도 속초시 동명동 383-9,38.2096309040953,128.593413554954,오징어 먹으러 속초가야댐,음식점,['맛집'],4,0.6603507549614094
39,인천 옹진군 영흥면 선재리 636-10,37.2542404048775,126.512352414906,카페메르디,카페,['카페'],0,0.5369809368957026
40,충남 서산시 운산면 용현리 40-1,36.7698985387524,126.602109127281,일랑일랑,음식점,"['휴양', '자연']",2,0.9792341597063235
41,서울 서초구 반포동 19-4,37.5064357442307,127.006834366246,포석정,음식점,"['야경', '오락']",0,0.8298356604246457
42,인천 중구 무의동 998-1,37.3740073545733,126.44170578395,소무의도,관광지,"['경치', '자연']",0,0.7278914800396327
43,서울 성동구 행당동 19-54,37.5595557237992,127.040469845279,이모네생고기,음식점,['맛집'],0,0.8663257334235883
44,부산 영도구 봉래동1가 2-1,35.0934586562847,129.038851353944,영도 포장마차거리,음식점,['맛집'],3,0.7389450154509717
45,경기 수원시 영통구 영통동 981-2,37.2451332601807,127.061795805742,바운스 슈퍼파크 수원영통센터,액티비티,"['액티비티', '오락']",0,0.5623606666529557
46,부산 기장군 일광읍 학리,35.2538528728851,129.247485052109,학리방파제,관광지,"['바다', '야경']",3,0.8022899440186722
47,경기 화성시 남양읍 남양리 1069-14,37.1946995295732,126.794581703241,화성 어썸월드,액티비티,"['오락', '휴양']",0,0.8734682122809583
48,경기 가평군 북면 화악리 750,37.9362787859454,127.541317461572,네스트 캠핑장,액티비티,"['자연', '휴양']",0,0.8720734144166347
49,경북 경주시 천군동 191-5,35.8361000891083,129.279149011801,경주월드,액티비티,"['오락', '힐링']",3,0.7757837006319224
50,부산 해운대구 중동 1124-2,35.1600161891956,129.166571267871,클럽디오아시스 & 청수당,스파,"['휴양', '자연']",3,0.9642457599185105
51,서울 중구 신당동 250-7,37.565234956636,127.0131998905,태태삼겹,음식점,['맛집'],0,0.9728562809500402
52,강원특별자치도 강릉시 주문진읍 주문리 265-8,37.8939813997587,128.833736572325,윤가네조개구이,음식점,['맛집'],4,0.9374348311348382
53,대구 달서구 두류동 857,35.8614543048429,128.57076195969,정민막창,음식점,['맛집'],3,0.6858218175795614
54,경기 부천시 원미구 춘의동 48-17,37.5005208176662,126.79834566401,원미산진달래동산,관광지,"['경치', '자연']",0,0.6338850371294057
55,경북 김천시 교동 820-2,36.1372368280432,128.093156250795,김천 연화지,관광지,"['경치', '자연']",2,0.7649059913748362
56,부산 부산진구 부전동 503-15,35.156789983664,129.056416218143,서면포장마차거리,음식점,['맛집'],3,0.8271551062960367
57,경기 용인시 처인구 원삼면 목신리 866-1,37.1310079226735,127.295714772316,포항 그린로즈 캠핑장,액티비티,"['자연', '휴양']",0,0.580296634150881
58,부산 서구 암남동 620-27,35.0628738344953,129.02066488614,송도암남공원조개구이,음식점,['맛집'],3,0.7797322678052745
59,충북 충주시 앙성면 능암리 산 14,37.0937001752163,127.802173798632,능암탄산온천,스파,"['힐링', '휴양']",2,0.7194741265510833
60,부산 중구 부평동1가 51-1,35.1006525207055,129.027777381263,남포동포장마차거리,음식점,['맛집'],3,0.5008323974262578
61,경기 화성시 팔탄면 율암리 483-26,37.1685726772365,126.888518355865,하피랜드,찜질방,"['힐링', '오락']",0,0.7094148925601587
62,강원특별자치도 춘천시 남산면 방하리 454,37.7699938688735,127.545310933417,스피드존,액티비티,"['액티비티', '오락']",0,0.6999494466094971
63,강원특별자치도 양양군 강현면 상복리 449,38.1425772819608,128.565527977259,복골온천,스파,"['힐링', '자연']",4,0.9816946281410152
64,경남 창원시 마산합포구 구산면 반동리 618,35.0863683367401,128.574253026879,청수굴구이,음식점,['맛집'],3,0.527257405711935
65,강원특별자치도 속초시 중앙동 474-11,38.2039877408455,128.590551593327,대박감자전,음식점,['맛집'],4,0.9642730167526917
66,부산 강서구 봉림동 747-68,35.1724954599467,128.901032376242,오플로우카페,카페,['카페'],3,0.9541597462111133
67,부산 기장군 기장읍 연화리 119-10,35.2183833933929,129.228086151307,기장 해녀촌 전씨아지매,음식점,['맛집'],3,0.7999001250384894
68,인천 중구 덕교동 6-20,37.4401694529991,126.430192214639,솔밭해수방,찜질방,"['휴양', '힐링']",0,0.5936145237273595
69,대구 북구 칠성동1가,35.8756080393595,128.604264495705,칠성시장포차,음식점,['맛집'],3,0.8956521669360459
70,인천 중구 운서동 2874,37.437412274746,126.455554729128,파라다이스씨메르,스파,"['휴양', '액티비티']",0,0.5807608452739874
71,서울 금천구 독산동 953,37.4785459548905,126.900571559567,스타스파앤휘트니스,액티비티,"['오락', '힐링']",0,0.6603201923222034
72,전북특별자치도 무주군 설천면 심곡리 산 43-15,35.8897985848155,127.73138999061,무주리조트 노천 온천탕,관광지,"['자연', '휴양']",2,0.8332115435407081
73,서울 중구 인현동2가 95-5,37.5649809752805,126.995195857867,힙지롤,액티비티,"['오락', '문화']",0,0.7126176504206612
74,부산 중구 남포동6가 74-1,35.0977573296053,129.027113771694,남포동 포차거리,음식점,['맛집'],3,0.7304626078962082
